Parameter Name,Value
General Information,
Sample name:,47
Start of measurement:,26*02*2015 14:54:13
Stop of measurement:,16*03*2015 09:04:13
Duration of Measurements:,17 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,188.71
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,6
Subaddress:,1
Serial number:,766
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,26*02*2015 14:54:13
Tension top Air Entry Point,07*03*2015 19:04:13
Tension bottom Air Entry Point,11*03*2015 00:44:13
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.333253056169992
Dry soil weight [g]:,398.4
Additional Soil Paramters,
Density [g/cm3]:,1.60
Porosity [-]:,0.40
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
27*02*2015 19:54:13,95.24,97.25,19.09
27*02*2015 20:04:13,95.67,97.73,18.99
27*02*2015 20:14:13,96.05,98.08,18.89
27*02*2015 20:24:13,96.42,98.45,18.8
27*02*2015 20:34:13,96.8,98.82,18.71
27*02*2015 20:44:13,97.15,99.2,18.62
27*02*2015 20:54:13,97.09,99.14,18.54
27*02*2015 21:04:13,97.47,99.55,18.47
27*02*2015 21:14:13,97.86,99.87,18.4
27*02*2015 21:24:13,97.83,99.87,18.33
27*02*2015 21:34:13,98.18,100.23,18.26
27*02*2015 21:44:13,98.47,100.55,18.2
27*02*2015 21:54:13,98.62,100.64,18.14
27*02*2015 22:04:13,98.78,100.86,18.08
27*02*2015 22:14:13,98.89,100.99,18.03
27*02*2015 22:24:13,99.1,101.2,17.97
27*02*2015 22:34:13,99.28,101.37,17.93
27*02*2015 22:44:13,99.51,101.6,17.89
27*02*2015 22:54:13,99.74,101.84,17.85
27*02*2015 23:04:13,100,102.07,17.81
27*02*2015 23:14:13,100.25,102.32,17.77
27*02*2015 23:24:13,100.57,102.66,17.73
27*02*2015 23:34:13,100.74,102.83,17.69
27*02*2015 23:44:13,100.94,103,17.66
27*02*2015 23:54:13,101.21,103.32,17.62
28*02*2015 00:04:13,101.25,103.35,17.58
28*02*2015 00:14:13,101.47,103.59,17.55
28*02*2015 00:24:13,101.63,103.72,17.51
28*02*2015 00:34:13,101.14,103.31,17.48
28*02*2015 00:44:13,101.67,103.78,17.45
28*02*2015 00:54:13,102.03,104.12,17.41
28*02*2015 01:04:13,102.27,104.37,17.38
28*02*2015 01:14:13,102.58,104.69,17.35
28*02*2015 01:24:13,102.75,104.87,17.32
28*02*2015 01:34:13,102.94,105.07,17.29
28*02*2015 01:44:13,103.19,105.31,17.26
28*02*2015 01:54:13,103.44,105.56,17.23
28*02*2015 02:04:13,103.58,105.67,17.2
28*02*2015 02:14:13,103.78,105.94,17.17
28*02*2015 02:24:13,104.06,106.2,17.15
28*02*2015 02:34:13,104.27,106.4,17.12
28*02*2015 02:44:13,104.4,106.52,17.09
28*02*2015 02:54:13,104.54,106.71,17.06
28*02*2015 03:04:13,104.71,106.84,17.03
28*02*2015 03:14:13,104.83,106.99,17.01
28*02*2015 03:24:13,105.04,107.18,16.98
28*02*2015 03:34:13,105.23,107.38,16.96
28*02*2015 03:44:13,105.34,107.51,16.94
28*02*2015 03:54:13,105.52,107.68,16.92
28*02*2015 04:04:13,105.71,107.9,16.89
28*02*2015 04:14:13,105.74,107.9,16.87
28*02*2015 04:24:13,106.01,108.17,16.85
28*02*2015 04:34:13,106.14,108.33,16.83
28*02*2015 04:44:13,106.32,108.48,16.81
28*02*2015 04:54:13,106.45,108.64,16.79
28*02*2015 05:04:13,106.7,108.88,16.77
28*02*2015 05:14:13,106.98,109.15,16.75
28*02*2015 05:24:13,106.76,108.96,16.73
28*02*2015 05:34:13,107.17,109.36,16.7
28*02*2015 05:44:13,107.25,109.44,16.68
28*02*2015 05:54:13,107.4,109.6,16.66
28*02*2015 06:04:13,107.55,109.73,16.64
28*02*2015 06:14:13,107.71,109.91,16.63
28*02*2015 06:24:13,107.84,110.04,16.61
28*02*2015 06:34:13,107.96,110.15,16.59
28*02*2015 06:44:13,108.23,110.49,16.57
28*02*2015 06:54:13,108.31,110.52,16.55
28*02*2015 07:04:13,108.56,110.78,16.53
28*02*2015 07:14:13,108.73,111,16.51
28*02*2015 07:24:13,109,111.22,16.48
28*02*2015 07:34:13,109.22,111.47,16.46
28*02*2015 07:44:13,109.47,111.69,16.44
28*02*2015 07:54:13,109.59,111.82,16.42
28*02*2015 08:04:13,109.64,111.89,16.42
28*02*2015 08:14:13,109.55,111.78,16.42
28*02*2015 08:24:13,109.52,111.73,16.43
28*02*2015 08:34:13,109.68,111.94,16.43
28*02*2015 08:44:13,109.93,112.17,16.43
28*02*2015 08:54:13,109.92,112.17,16.43
28*02*2015 09:04:13,110.06,112.3,16.42
28*02*2015 09:14:13,110.13,112.4,16.42
28*02*2015 09:24:13,110.24,112.52,16.42
28*02*2015 09:34:13,110.42,112.68,16.42
28*02*2015 09:44:13,110.61,112.88,16.42
28*02*2015 09:54:13,110.55,112.82,16.42
28*02*2015 10:04:13,110.57,112.84,16.43
28*02*2015 10:14:13,110.67,112.95,16.44
28*02*2015 10:24:13,110.82,113.1,16.45
28*02*2015 10:34:13,110.97,113.27,16.46
28*02*2015 10:44:13,111.35,113.67,16.46
28*02*2015 10:54:13,111.41,113.73,16.47
28*02*2015 11:04:13,111.67,113.97,16.47
28*02*2015 11:14:13,111.81,114.14,16.48
28*02*2015 11:24:13,111.99,114.29,16.49
28*02*2015 11:34:13,112.08,114.42,16.5
28*02*2015 11:44:13,112.22,114.54,16.51
28*02*2015 11:54:13,112.39,114.73,16.51
28*02*2015 12:04:13,112.57,114.95,16.52
28*02*2015 12:14:13,112.68,115.06,16.53
28*02*2015 12:24:13,113.03,115.41,16.54
28*02*2015 12:34:13,113.2,115.55,16.54
28*02*2015 12:44:13,113.4,115.77,16.56
28*02*2015 12:54:13,113.51,115.89,16.57
28*02*2015 13:04:13,113.59,115.94,16.59
28*02*2015 13:14:13,113.64,116.02,16.62
